ReaderWell,Type,SampleWell,TubeBarcode,Full.Mass,Full.Weight.Date,Full.Weight.Time,BarcodeID,Empty.Mass,Empty.Weight.Date,Empty.Weight.Time,SampleMass,Experiment,Date,Cage,Animal,Timepoint,Sex,Condition,Sample,Replicate
G08,Experiment,G08,231323149,1031.8,9/7/17,10:41:36,SW_Abs|0002b-I.2|090617|E1znm,933.6,9/6/17,13:34:20,98.2,SW_Abs1,6-Sep,2,2b,9,Male,NB71813,Ileum,2
G09,Experiment,G09,231323203,1039.1,9/7/17,10:41:40,SW_Abs|0003a-I.1|090617|3BLJs,945,9/6/17,13:34:30,94.1,SW_Abs1,6-Sep,3,3a,9,Male,GZ35-1,Ileum,1
G10,Experiment,G10,231323129,1040.6,9/7/17,10:41:44,SW_Abs|0003a-I.2|090617|EyPKx,940.1,9/6/17,13:34:36,100.5,SW_Abs1,6-Sep,3,3a,9,Male,GZ35-1,Ileum,2
G11,Experiment,G11,231323121,1057.7,9/7/17,10:41:48,SW_Abs|0003b-I.1|090617|EtpGL,936,9/6/17,13:35:10,121.7,SW_Abs1,6-Sep,3,3b,9,Male,GZ35-1,Ileum,1
G12,Experiment,G12,231323127,1021,9/7/17,10:41:53,SW_Abs|0003b-I.2|090617|mTU61,932.8,9/6/17,13:35:15,88.2,SW_Abs1,6-Sep,3,3b,9,Male,GZ35-1,Ileum,2
H01,Experiment,H01,231323196,1017.5,9/7/17,10:41:58,SW_Abs|0009a-I.1|090617|cMzRk,934.5,9/6/17,13:35:23,83,SW_Abs1,6-Sep,9,9a,13,Male,Conventional,Ileum,1
H02,Experiment,H02,231323168,988.7,9/7/17,10:42:02,SW_Abs|0009a-I.2|090617|Rly9M,932.2,9/6/17,13:35:30,56.5,SW_Abs1,6-Sep,9,9a,13,Male,Conventional,Ileum,2
H03,Experiment,H03,231323124,991.3,9/7/17,10:42:06,SW_Abs|0009b-I.1|090617|Y6psq,933.3,9/6/17,13:35:35,58,SW_Abs1,6-Sep,9,9b,13,Male,Conventional,Ileum,1
H04,Experiment,H04,231323150,974.2,9/7/17,10:42:09,SW_Abs|0009b-I.2|090617|6NAHa,944.5,9/6/17,13:35:46,29.7,SW_Abs1,6-Sep,9,9b,13,Male,Conventional,Ileum,2
H05,Experiment,H05,231323178,1028,9/7/17,10:42:13,SW_Abs|0009c-I.1|090617|bkgd2,932.8,9/6/17,13:35:54,95.2,SW_Abs1,6-Sep,9,9c,13,Male,Conventional,Ileum,1
H06,Experiment,H06,231323173,998.7,9/7/17,10:42:16,SW_Abs|0009c-I.2|090617|9pkBt,935.3,9/6/17,13:35:59,63.4,SW_Abs1,6-Sep,9,9c,13,Male,Conventional,Ileum,2
H07,Experiment,H07,231323171,1028.7,9/7/17,10:42:19,SW_Abs|0010a-I.1|090617|A6rDN,938.9,9/6/17,13:36:04,89.8,SW_Abs1,6-Sep,10,10a,13,Female,Conventional,Ileum,1
H08,Experiment,H08,231323172,993.2,9/7/17,10:42:23,SW_Abs|0010a-I.2|090617|kVF9O,936.5,9/6/17,13:36:09,56.7,SW_Abs1,6-Sep,10,10a,13,Female,Conventional,Ileum,2
H09,Experiment,H09,231323177,985.1,9/7/17,10:42:27,SW_Abs|0010b-I.1|090617|zusYi,944.8,9/6/17,13:36:15,40.3,SW_Abs1,6-Sep,10,10b,13,Female,Conventional,Ileum,1
H10,Experiment,H10,231323197,998.7,9/7/17,10:42:31,SW_Abs|0010b-I.2|090617|S2ljj,937.9,9/6/17,13:36:21,60.8,SW_Abs1,6-Sep,10,10b,13,Female,Conventional,Ileum,2
H11,Experiment,H11,231323170,1013,9/7/17,10:42:34,SW_Abs|0010c-I.1|090617|kjVnA,932.4,9/6/17,13:36:29,80.6,SW_Abs1,6-Sep,10,10c,13,Female,Conventional,Ileum,1
H12,Experiment,H12,231323152,982.7,9/7/17,10:42:37,SW_Abs|0010c-I.2|090617|YXkrk,938.3,9/6/17,13:36:36,44.4,SW_Abs1,6-Sep,10,10c,13,Female,Conventional,Ileum,2
